INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
7261I,1972,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,72.0,17.0,
7261I,1973,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,48.0,27.0,
7261I,1974,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,52.0,13.0,
7261I,1975,5,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,23.0,24.0,
7261I,1977,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,48.8,29.0,
7261I,1978,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,27.0,10.0,
7261I,1979,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,57.0,19.0,
7261I,1980,2,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,64.0,26.0,
7261I,1981,6,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,46.0,23.0,
7261I,1982,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,25.0,19.0,
7261I,1983,8,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,23.0,27.0,
7261I,1984,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,30.0,20.0,
7261I,1985,2,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,133.0,21.0,
7261I,1986,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,63.5,30.0,
7261I,1987,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,116.5,4.0,
7261I,1988,6,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,44.5,7.0,
7261I,1989,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,180.0,5.0,
7261I,1990,5,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,53.0,27.0,
7261I,1991,1,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,92.0,23.0,
7261I,1992,2,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,75.7,20.0,
7261I,1993,3,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,43.2,13.0,
7261I,1994,4,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,46.5,15.0,
7261I,1995,2,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,16.3,28.0,
7261I,1996,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,96.0,10.0,
7261I,1997,6,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,46.6,18.0,
7261I,1998,12,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,53.5,2.0,
7261I,1999,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,21.0,20.0,
7261I,2000,1,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,38.0,10.0,
7261I,2001,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,40.0,28.0,
7261I,2002,4,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,51.2,1.0,
7261I,2003,4,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,27.8,15.0,
7261I,2004,4,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,130.2,15.0,
7261I,2005,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,63.2,17.0,
7261I,2006,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,50.6,2.0,
7261I,2007,1,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,30.0,26.0,
7261I,2008,10,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,28.8,9.0,
7261I,2009,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,192.0,28.0,
7261I,2010,6,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,34.6,15.0,
7261I,2011,11,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,57.0,23.0,
7261I,2012,3,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,65.6,19.0,
7261I,2013,4,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,26.2,25.0,
7261I,2014,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,31.8,22.0,
7261I,2015,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,60.3,5.0,
7261I,2016,12,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,107.5,18.0,
7261I,2017,1,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,39.0,19.0,
7261I,2018,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,60.4,6.0,
7261I,2019,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,160.0,12.0,
7261I,2020,3,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,42.0,23.0,
7261I,2021,5,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,62.2,23.0,
7261I,2022,3,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,46.5,3.0,
7261I,2023,9,ROJALES  EL MOLINO,31,700365,4218051,ALICANTE,31.5,2.0,
