INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8013,1944,6,NOVELDA,245,695094,4250618,ALICANTE,18.0,10.0,
8013,1948,9,NOVELDA,245,695094,4250618,ALICANTE,42.0,28.0,
8013,1949,12,NOVELDA,245,695094,4250618,ALICANTE,44.0,15.0,
8013,1950,1,NOVELDA,245,695094,4250618,ALICANTE,36.4,23.0,
8013,1951,1,NOVELDA,245,695094,4250618,ALICANTE,141.0,10.0,
8013,1952,10,NOVELDA,245,695094,4250618,ALICANTE,54.5,19.0,
8013,1955,9,NOVELDA,245,695094,4250618,ALICANTE,40.0,9.0,
8013,1956,4,NOVELDA,245,695094,4250618,ALICANTE,50.0,23.0,
8013,1957,10,NOVELDA,245,695094,4250618,ALICANTE,29.3,1.0,
8013,1958,11,NOVELDA,245,695094,4250618,ALICANTE,35.5,1.0,
8013,1959,9,NOVELDA,245,695094,4250618,ALICANTE,57.0,2.0,
8013,1960,1,NOVELDA,245,695094,4250618,ALICANTE,40.0,11.0,
8013,1961,9,NOVELDA,245,695094,4250618,ALICANTE,21.0,29.0,
8013,1962,6,NOVELDA,245,695094,4250618,ALICANTE,29.0,3.0,
8013,1964,6,NOVELDA,245,695094,4250618,ALICANTE,34.0,23.0,
8013,1965,12,NOVELDA,245,695094,4250618,ALICANTE,34.0,8.0,
8013,1966,6,NOVELDA,245,695094,4250618,ALICANTE,77.0,14.0,
8013,1968,12,NOVELDA,245,695094,4250618,ALICANTE,64.0,7.0,
8013,1969,9,NOVELDA,245,695094,4250618,ALICANTE,46.0,8.0,
8013,1970,12,NOVELDA,245,695094,4250618,ALICANTE,27.0,28.0,
8013,1971,10,NOVELDA,245,695094,4250618,ALICANTE,43.0,6.0,
8013,1972,11,NOVELDA,245,695094,4250618,ALICANTE,48.0,27.0,
8013,1973,9,NOVELDA,245,695094,4250618,ALICANTE,45.0,30.0,
8013,1974,8,NOVELDA,245,695094,4250618,ALICANTE,58.0,19.0,
8013,1975,8,NOVELDA,245,695094,4250618,ALICANTE,44.0,22.0,
8013,1976,4,NOVELDA,245,695094,4250618,ALICANTE,20.0,4.0,
8013,1977,7,NOVELDA,245,695094,4250618,ALICANTE,45.0,29.0,
8013,1978,10,NOVELDA,245,695094,4250618,ALICANTE,28.0,16.0,
8013,1979,10,NOVELDA,245,695094,4250618,ALICANTE,32.0,21.0,
8013,1980,2,NOVELDA,245,695094,4250618,ALICANTE,75.0,26.0,
8013,1981,6,NOVELDA,245,695094,4250618,ALICANTE,35.0,22.0,
8013,1982,10,NOVELDA,245,695094,4250618,ALICANTE,118.0,19.0,
8013,1983,11,NOVELDA,245,695094,4250618,ALICANTE,24.0,16.0,
8013,1984,11,NOVELDA,245,695094,4250618,ALICANTE,24.0,10.0,
8013,1985,2,NOVELDA,245,695094,4250618,ALICANTE,42.0,21.0,
8013,1986,9,NOVELDA,245,695094,4250618,ALICANTE,70.0,30.0,
8013,1987,11,NOVELDA,245,695094,4250618,ALICANTE,130.0,3.0,
8013,1988,10,NOVELDA,245,695094,4250618,ALICANTE,58.0,14.0,
8013,1989,9,NOVELDA,245,695094,4250618,ALICANTE,104.0,4.0,
8013,1990,5,NOVELDA,245,695094,4250618,ALICANTE,19.0,27.0,
8013,1991,1,NOVELDA,245,695094,4250618,ALICANTE,19.0,20.0,
8013,1992,2,NOVELDA,245,695094,4250618,ALICANTE,45.0,20.0,
8013,1994,10,NOVELDA,245,695094,4250618,ALICANTE,70.0,9.0,
8013,1995,11,NOVELDA,245,695094,4250618,ALICANTE,24.0,25.0,
8013,1996,10,NOVELDA,245,695094,4250618,ALICANTE,30.0,14.0,
8013,1997,9,NOVELDA,245,695094,4250618,ALICANTE,101.0,30.0,
8013,1998,12,NOVELDA,245,695094,4250618,ALICANTE,36.0,2.0,
8013,1999,10,NOVELDA,245,695094,4250618,ALICANTE,17.0,20.0,
8013,2000,10,NOVELDA,245,695094,4250618,ALICANTE,25.0,23.0,
8013,2002,8,NOVELDA,245,695094,4250618,ALICANTE,74.0,23.0,
8013,2003,12,NOVELDA,245,695094,4250618,ALICANTE,32.0,9.0,
8013,2004,4,NOVELDA,245,695094,4250618,ALICANTE,29.0,15.0,
8013,2005,4,NOVELDA,245,695094,4250618,ALICANTE,19.0,8.0,
8013,2020,1,NOVELDA,245,695094,4250618,ALICANTE,49.9,20.0,
8013,2021,5,NOVELDA,245,695094,4250618,ALICANTE,56.0,23.0,
8013,2022,3,NOVELDA,245,695094,4250618,ALICANTE,60.0,3.0,
8013,2023,5,NOVELDA,245,695094,4250618,ALICANTE,35.0,22.0,
8013,2024,8,NOVELDA,245,695094,4250618,ALICANTE,15.4,14.0,
