INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8018A,1952,10,ELCHE,95,701719,4238104,ALICANTE,54.3,20.0,
8018A,1953,10,ELCHE,95,701719,4238104,ALICANTE,59.2,4.0,
8018A,1954,4,ELCHE,95,701719,4238104,ALICANTE,37.0,7.0,
8018A,1955,9,ELCHE,95,701719,4238104,ALICANTE,48.0,9.0,
8018A,1956,4,ELCHE,95,701719,4238104,ALICANTE,33.2,23.0,
8018A,1957,4,ELCHE,95,701719,4238104,ALICANTE,27.3,26.0,
8018A,1958,10,ELCHE,95,701719,4238104,ALICANTE,30.9,26.0,
8018A,1959,10,ELCHE,95,701719,4238104,ALICANTE,42.5,25.0,
8018A,1960,1,ELCHE,95,701719,4238104,ALICANTE,31.5,11.0,
8018A,1961,2,ELCHE,95,701719,4238104,ALICANTE,34.0,20.0,
8018A,1962,10,ELCHE,95,701719,4238104,ALICANTE,56.9,14.0,
8018A,1963,9,ELCHE,95,701719,4238104,ALICANTE,72.4,17.0,
8018A,1964,12,ELCHE,95,701719,4238104,ALICANTE,20.0,18.0,
8018A,1965,12,ELCHE,95,701719,4238104,ALICANTE,65.5,8.0,
8018A,1966,10,ELCHE,95,701719,4238104,ALICANTE,42.6,10.0,
8018A,1967,2,ELCHE,95,701719,4238104,ALICANTE,72.0,11.0,
8018A,1968,12,ELCHE,95,701719,4238104,ALICANTE,59.0,7.0,
8018A,1969,6,ELCHE,95,701719,4238104,ALICANTE,50.5,10.0,
8018A,1970,10,ELCHE,95,701719,4238104,ALICANTE,59.4,11.0,
8018A,1971,10,ELCHE,95,701719,4238104,ALICANTE,60.2,6.0,
8018A,1972,10,ELCHE,95,701719,4238104,ALICANTE,73.6,19.0,
8018A,1973,6,ELCHE,95,701719,4238104,ALICANTE,54.9,4.0,
8018A,1974,8,ELCHE,95,701719,4238104,ALICANTE,43.4,19.0,
8018A,1976,8,ELCHE,95,701719,4238104,ALICANTE,31.9,28.0,
8018A,1977,7,ELCHE,95,701719,4238104,ALICANTE,28.6,29.0,
8018A,1978,11,ELCHE,95,701719,4238104,ALICANTE,31.1,9.0,
8018A,1979,9,ELCHE,95,701719,4238104,ALICANTE,36.0,20.0,
8018A,1980,2,ELCHE,95,701719,4238104,ALICANTE,39.0,26.0,
8018A,1981,6,ELCHE,95,701719,4238104,ALICANTE,20.1,24.0,
8018A,1982,10,ELCHE,95,701719,4238104,ALICANTE,95.1,20.0,
8018A,1983,8,ELCHE,95,701719,4238104,ALICANTE,27.8,27.0,
8018A,1984,11,ELCHE,95,701719,4238104,ALICANTE,14.7,10.0,
8018A,1985,9,ELCHE,95,701719,4238104,ALICANTE,32.5,22.0,
8018A,1986,9,ELCHE,95,701719,4238104,ALICANTE,84.2,30.0,
8018A,1987,11,ELCHE,95,701719,4238104,ALICANTE,146.8,3.0,
8018A,1988,10,ELCHE,95,701719,4238104,ALICANTE,71.0,14.0,
8018A,1989,9,ELCHE,95,701719,4238104,ALICANTE,104.0,4.0,
8018A,1990,5,ELCHE,95,701719,4238104,ALICANTE,20.0,27.0,
8018A,1991,1,ELCHE,95,701719,4238104,ALICANTE,23.1,20.0,
8018A,1992,2,ELCHE,95,701719,4238104,ALICANTE,38.4,20.0,
8018A,1993,12,ELCHE,95,701719,4238104,ALICANTE,34.5,14.0,
8018A,1994,10,ELCHE,95,701719,4238104,ALICANTE,38.6,16.0,
8018A,1995,11,ELCHE,95,701719,4238104,ALICANTE,22.8,30.0,
8018A,1997,9,ELCHE,95,701719,4238104,ALICANTE,68.7,29.0,
8018A,1998,12,ELCHE,95,701719,4238104,ALICANTE,33.0,2.0,
8018A,1999,10,ELCHE,95,701719,4238104,ALICANTE,19.2,20.0,
8018A,2000,10,ELCHE,95,701719,4238104,ALICANTE,39.1,23.0,
8018A,2001,9,ELCHE,95,701719,4238104,ALICANTE,42.6,6.0,
8018A,2002,8,ELCHE,95,701719,4238104,ALICANTE,44.6,23.0,
8018A,2004,4,ELCHE,95,701719,4238104,ALICANTE,41.2,15.0,
8018A,2005,9,ELCHE,95,701719,4238104,ALICANTE,25.7,17.0,
8018A,2006,4,ELCHE,95,701719,4238104,ALICANTE,41.8,17.0,
8018A,2007,1,ELCHE,95,701719,4238104,ALICANTE,41.0,26.0,
8018A,2008,9,ELCHE,95,701719,4238104,ALICANTE,48.6,23.0,
8018A,2009,9,ELCHE,95,701719,4238104,ALICANTE,51.8,28.0,
8018A,2010,3,ELCHE,95,701719,4238104,ALICANTE,22.1,2.0,
8018A,2011,11,ELCHE,95,701719,4238104,ALICANTE,37.6,23.0,
8018A,2012,9,ELCHE,95,701719,4238104,ALICANTE,56.9,28.0,
8018A,2013,8,ELCHE,95,701719,4238104,ALICANTE,33.0,28.0,
8018A,2014,9,ELCHE,95,701719,4238104,ALICANTE,36.8,24.0,
8018A,2015,11,ELCHE,95,701719,4238104,ALICANTE,35.4,1.0,
8018A,2016,12,ELCHE,95,701719,4238104,ALICANTE,44.5,18.0,
8018A,2017,3,ELCHE,95,701719,4238104,ALICANTE,67.5,13.0,
8018A,2018,1,ELCHE,95,701719,4238104,ALICANTE,53.2,27.0,
8018A,2019,9,ELCHE,95,701719,4238104,ALICANTE,99.7,12.0,
8018A,2020,1,ELCHE,95,701719,4238104,ALICANTE,54.6,20.0,
8018A,2021,4,ELCHE,95,701719,4238104,ALICANTE,65.3,26.0,
8018A,2022,3,ELCHE,95,701719,4238104,ALICANTE,74.8,3.0,
8018A,2023,6,ELCHE,95,701719,4238104,ALICANTE,54.0,13.0,
8018A,2024,12,ELCHE,95,701719,4238104,ALICANTE,23.3,30.0,
