INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8018B,1955,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.0,9.0,
8018B,1956,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,33.0,17.0,
8018B,1957,4,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,22.0,13.0,
8018B,1958,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.0,18.0,
8018B,1959,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,83.0,26.0,
8018B,1960,1,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,36.0,11.0,
8018B,1961,2,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,40.0,20.0,
8018B,1962,2,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,39.0,24.0,
8018B,1963,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,60.0,17.0,
8018B,1964,12,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.5,16.0,
8018B,1965,12,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,73.0,8.0,
8018B,1966,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,37.5,10.0,
8018B,1967,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,64.0,19.0,
8018B,1968,12,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,51.5,7.0,
8018B,1969,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,54.0,10.0,
8018B,1970,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.5,8.0,11.0
8018B,1971,3,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,37.5,8.0,
8018B,1972,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,54.0,4.0,
8018B,1973,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,37.5,4.0,
8018B,1974,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.0,11.0,
8018B,1975,3,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,22.0,4.0,
8018B,1976,5,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,20.0,13.0,
8018B,1977,7,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,30.0,29.0,
8018B,1978,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,30.0,9.0,
8018B,1979,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,33.0,21.0,
8018B,1980,2,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,58.0,26.0,
8018B,1981,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,17.0,23.0,
8018B,1982,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,66.0,19.0,
8018B,1983,8,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,21.0,27.0,
8018B,1984,5,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,16.0,3.0,
8018B,1985,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,31.0,22.0,
8018B,1986,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,51.0,30.0,
8018B,1987,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,133.0,3.0,
8018B,1988,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,61.0,14.0,
8018B,1989,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,112.0,4.0,
8018B,1990,5,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,23.0,27.0,
8018B,1991,1,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,30.0,20.0,
8018B,1992,2,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,62.0,20.0,
8018B,1993,12,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,45.0,14.0,
8018B,1994,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,54.0,16.0,
8018B,1996,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,40.0,15.0,
8018B,1998,12,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,34.0,2.0,
8018B,1999,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,19.0,20.0,
8018B,2000,10,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,38.0,23.0,
8018B,2001,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,36.0,10.0,
8018B,2002,8,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,33.0,23.0,
8018B,2004,4,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,45.5,15.0,
8018B,2005,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,27.0,17.0,
8018B,2011,11,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,40.0,23.0,
8018B,2013,8,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,25.0,28.0,
8018B,2016,3,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,42.0,21.0,
8018B,2017,3,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,70.0,13.0,
8018B,2018,1,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,55.0,27.0,
8018B,2019,9,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,107.0,12.0,
8018B,2020,1,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,60.0,20.0,
8018B,2021,4,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,60.0,26.0,
8018B,2022,3,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,67.0,3.0,
8018B,2023,5,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,45.0,22.0,
8018B,2024,6,ELCHE C H SEGURA,85,700275,4237482,ALICANTE,23.0,11.0,
