INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8028E,1966,10,TIBI TALECA,538,711753,4267112,ALICANTE,46.0,10.0,
8028E,1967,2,TIBI TALECA,538,711753,4267112,ALICANTE,50.8,11.0,
8028E,1968,12,TIBI TALECA,538,711753,4267112,ALICANTE,82.0,7.0,
8028E,1969,9,TIBI TALECA,538,711753,4267112,ALICANTE,71.2,8.0,
8028E,1970,10,TIBI TALECA,538,711753,4267112,ALICANTE,34.0,11.0,
8028E,1971,10,TIBI TALECA,538,711753,4267112,ALICANTE,113.2,6.0,
8028E,1972,10,TIBI TALECA,538,711753,4267112,ALICANTE,58.0,6.0,
8028E,1973,6,TIBI TALECA,538,711753,4267112,ALICANTE,62.0,4.0,
8028E,1974,2,TIBI TALECA,538,711753,4267112,ALICANTE,42.9,19.0,
8028E,1975,6,TIBI TALECA,538,711753,4267112,ALICANTE,75.6,10.0,
8028E,1976,8,TIBI TALECA,538,711753,4267112,ALICANTE,36.3,23.0,
8028E,1977,7,TIBI TALECA,538,711753,4267112,ALICANTE,46.3,15.0,
8028E,1978,4,TIBI TALECA,538,711753,4267112,ALICANTE,26.4,10.0,
8028E,1979,9,TIBI TALECA,538,711753,4267112,ALICANTE,28.5,11.0,
8028E,1980,1,TIBI TALECA,538,711753,4267112,ALICANTE,111.5,13.0,
8028E,1981,4,TIBI TALECA,538,711753,4267112,ALICANTE,31.2,2.0,
8028E,1982,10,TIBI TALECA,538,711753,4267112,ALICANTE,86.2,19.0,
8028E,1983,11,TIBI TALECA,538,711753,4267112,ALICANTE,37.9,16.0,
8028E,1984,11,TIBI TALECA,538,711753,4267112,ALICANTE,25.3,10.0,
8028E,1985,5,TIBI TALECA,538,711753,4267112,ALICANTE,37.6,13.0,
8028E,1986,9,TIBI TALECA,538,711753,4267112,ALICANTE,77.2,30.0,
8028E,1987,11,TIBI TALECA,538,711753,4267112,ALICANTE,140.0,3.0,
8028E,1988,5,TIBI TALECA,538,711753,4267112,ALICANTE,51.3,12.0,
8028E,1989,9,TIBI TALECA,538,711753,4267112,ALICANTE,113.6,7.0,
8028E,1990,1,TIBI TALECA,538,711753,4267112,ALICANTE,23.5,8.0,
8028E,1991,3,TIBI TALECA,538,711753,4267112,ALICANTE,24.1,14.0,
8028E,1992,2,TIBI TALECA,538,711753,4267112,ALICANTE,45.2,18.0,
8028E,1993,2,TIBI TALECA,538,711753,4267112,ALICANTE,51.0,2.0,
8028E,1994,4,TIBI TALECA,538,711753,4267112,ALICANTE,31.2,15.0,
8028E,1995,11,TIBI TALECA,538,711753,4267112,ALICANTE,37.1,25.0,
8028E,1996,7,TIBI TALECA,538,711753,4267112,ALICANTE,84.3,27.0,
8028E,1997,9,TIBI TALECA,538,711753,4267112,ALICANTE,122.5,30.0,
8028E,1998,12,TIBI TALECA,538,711753,4267112,ALICANTE,67.1,2.0,
8028E,2000,10,TIBI TALECA,538,711753,4267112,ALICANTE,61.3,23.0,
8028E,2001,2,TIBI TALECA,538,711753,4267112,ALICANTE,34.6,18.0,
8028E,2004,9,TIBI TALECA,538,711753,4267112,ALICANTE,33.2,15.0,
8028E,2005,9,TIBI TALECA,538,711753,4267112,ALICANTE,30.2,17.0,
8028E,2006,1,TIBI TALECA,538,711753,4267112,ALICANTE,42.2,27.0,
8028E,2007,9,TIBI TALECA,538,711753,4267112,ALICANTE,61.4,22.0,
8028E,2008,5,TIBI TALECA,538,711753,4267112,ALICANTE,43.1,8.0,
8028E,2010,5,TIBI TALECA,538,711753,4267112,ALICANTE,65.2,3.0,
8028E,2014,11,TIBI TALECA,538,711753,4267112,ALICANTE,50.4,30.0,
8028E,2015,11,TIBI TALECA,538,711753,4267112,ALICANTE,70.2,1.0,
8028E,2016,12,TIBI TALECA,538,711753,4267112,ALICANTE,105.1,16.0,
8028E,2017,1,TIBI TALECA,538,711753,4267112,ALICANTE,51.1,19.0,
8028E,2018,1,TIBI TALECA,538,711753,4267112,ALICANTE,72.2,27.0,
8028E,2019,4,TIBI TALECA,538,711753,4267112,ALICANTE,131.5,21.0,
8028E,2020,1,TIBI TALECA,538,711753,4267112,ALICANTE,93.0,19.0,
8028E,2021,5,TIBI TALECA,538,711753,4267112,ALICANTE,52.0,23.0,
8028E,2022,3,TIBI TALECA,538,711753,4267112,ALICANTE,37.2,21.0,
8028E,2023,9,TIBI TALECA,538,711753,4267112,ALICANTE,39.6,2.0,
8028E,2024,9,TIBI TALECA,538,711753,4267112,ALICANTE,49.9,2.0,
