INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8201A,1949,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,78.5,16.0,
8201A,1950,5,AYORA C H JUCAR,596,668239,4325173,VALENCIA,35.5,12.0,
8201A,1951,9,AYORA C H JUCAR,596,668239,4325173,VALENCIA,62.0,13.0,
8201A,1952,8,AYORA C H JUCAR,596,668239,4325173,VALENCIA,31.0,28.0,
8201A,1953,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,52.0,21.0,
8201A,1954,7,AYORA C H JUCAR,596,668239,4325173,VALENCIA,28.0,10.0,
8201A,1955,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,61.2,6.0,
8201A,1956,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,43.0,25.0,
8201A,1960,12,AYORA C H JUCAR,596,668239,4325173,VALENCIA,50.3,17.0,
8201A,1961,9,AYORA C H JUCAR,596,668239,4325173,VALENCIA,29.2,11.0,
8201A,1962,5,AYORA C H JUCAR,596,668239,4325173,VALENCIA,28.2,16.0,
8201A,1963,12,AYORA C H JUCAR,596,668239,4325173,VALENCIA,24.0,15.0,
8201A,1964,12,AYORA C H JUCAR,596,668239,4325173,VALENCIA,79.4,18.0,
8201A,1965,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,25.5,30.0,
8201A,1966,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,58.5,11.0,
8201A,1967,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,48.0,15.0,
8201A,1968,8,AYORA C H JUCAR,596,668239,4325173,VALENCIA,19.4,16.0,
8201A,1969,4,AYORA C H JUCAR,596,668239,4325173,VALENCIA,42.3,30.0,
8201A,1970,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,29.2,11.0,
8201A,1971,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,63.3,7.0,
8201A,1972,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,48.5,18.0,
8201A,1973,3,AYORA C H JUCAR,596,668239,4325173,VALENCIA,52.0,22.0,
8201A,1974,7,AYORA C H JUCAR,596,668239,4325173,VALENCIA,46.5,14.0,
8201A,1975,12,AYORA C H JUCAR,596,668239,4325173,VALENCIA,104.0,5.0,
8201A,1976,5,AYORA C H JUCAR,596,668239,4325173,VALENCIA,37.3,29.0,
8201A,1977,11,AYORA C H JUCAR,596,668239,4325173,VALENCIA,70.0,30.0,
8201A,1978,1,AYORA C H JUCAR,596,668239,4325173,VALENCIA,19.0,28.0,
8201A,1979,9,AYORA C H JUCAR,596,668239,4325173,VALENCIA,52.0,6.0,
8201A,1980,1,AYORA C H JUCAR,596,668239,4325173,VALENCIA,49.0,13.0,
8201A,1981,4,AYORA C H JUCAR,596,668239,4325173,VALENCIA,40.5,2.0,
8201A,1982,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,245.3,20.0,
8201A,1983,6,AYORA C H JUCAR,596,668239,4325173,VALENCIA,42.0,27.0,
8201A,1984,11,AYORA C H JUCAR,596,668239,4325173,VALENCIA,102.0,10.0,
8201A,1985,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,20.0,25.0,
8201A,1986,7,AYORA C H JUCAR,596,668239,4325173,VALENCIA,85.0,25.0,
8201A,1987,11,AYORA C H JUCAR,596,668239,4325173,VALENCIA,101.5,4.0,
8201A,1988,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,67.0,16.0,
8201A,1989,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,47.0,11.0,
8201A,1990,4,AYORA C H JUCAR,596,668239,4325173,VALENCIA,41.0,8.0,
8201A,1991,1,AYORA C H JUCAR,596,668239,4325173,VALENCIA,51.0,22.0,
8201A,1992,2,AYORA C H JUCAR,596,668239,4325173,VALENCIA,43.7,18.0,
8201A,1994,10,AYORA C H JUCAR,596,668239,4325173,VALENCIA,44.0,1.0,
8201A,1995,8,AYORA C H JUCAR,596,668239,4325173,VALENCIA,24.3,10.0,
8201A,1996,9,AYORA C H JUCAR,596,668239,4325173,VALENCIA,40.0,11.0,
8201A,2018,5,AYORA C H JUCAR,596,668239,4325173,VALENCIA,46.5,29.0,
8201A,2019,4,AYORA C H JUCAR,596,668239,4325173,VALENCIA,102.5,19.0,
8201A,2020,1,AYORA C H JUCAR,596,668239,4325173,VALENCIA,78.0,20.0,
8201A,2021,1,AYORA C H JUCAR,596,668239,4325173,VALENCIA,130.0,8.0,
8201A,2022,3,AYORA C H JUCAR,596,668239,4325173,VALENCIA,38.5,17.0,
8201A,2023,5,AYORA C H JUCAR,596,668239,4325173,VALENCIA,58.0,23.0,
8201A,2024,6,AYORA C H JUCAR,596,668239,4325173,VALENCIA,34.5,8.0,
