INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8251E,1966,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,31.3,4.0,
8251E,1967,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,40.0,14.0,
8251E,1968,4,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,20.5,12.0,
8251E,1969,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,74.0,5.0,
8251E,1970,1,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,39.0,2.0,
8251E,1971,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,72.0,8.0,
8251E,1972,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,27.0,23.0,
8251E,1973,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,30.0,3.0,
8251E,1974,3,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,45.5,21.0,
8251E,1975,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,32.0,10.0,
8251E,1976,8,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,43.5,27.0,
8251E,1977,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,58.0,18.0,
8251E,1978,2,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,32.5,25.0,
8251E,1979,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,47.6,7.0,
8251E,1981,4,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,31.5,2.0,
8251E,1982,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,84.0,20.0,
8251E,1983,8,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,37.2,22.0,
8251E,1984,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,61.8,10.0,
8251E,1985,2,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,23.0,21.0,
8251E,1986,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,51.5,18.0,
8251E,1987,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,56.8,4.0,
8251E,1988,5,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,50.7,9.0,
8251E,1989,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,36.0,4.0,
8251E,1990,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,22.4,7.0,
8251E,1991,4,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,36.4,15.0,
8251E,1992,2,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,24.3,18.0,
8251E,1993,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,41.2,27.0,
8251E,1994,4,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,31.2,15.0,
8251E,1995,8,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,45.0,20.0,
8251E,1996,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,39.0,11.0,
8251E,1998,5,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,39.0,19.0,
8251E,1999,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,29.0,5.0,
8251E,2000,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,40.0,23.0,
8251E,2002,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,70.6,30.0,
8251E,2004,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,65.2,3.0,
8251E,2005,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,31.0,23.0,
8251E,2007,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,56.1,14.0,
8251E,2008,6,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,45.1,8.0,
8251E,2010,8,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,36.8,19.0,
8251E,2011,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,33.0,20.0,
8251E,2012,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,57.0,28.0,
8251E,2013,7,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,34.8,10.0,
8251E,2014,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,30.0,28.0,
8251E,2015,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,24.5,1.0,
8251E,2017,1,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,39.0,20.0,
8251E,2018,5,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,31.5,27.0,
8251E,2019,4,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,82.0,19.0,
8251E,2020,11,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,72.0,27.0,
8251E,2021,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,36.0,30.0,
8251E,2022,10,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,43.2,10.0,
8251E,2023,9,VILLARGORDO DEL CABRIEL-CONTRERAS,662,629166,4377413,VALENCIA,53.4,19.0,
