INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8395B,1969,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,70.0,5.0,
8395B,1970,12,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,40.0,8.0,
8395B,1971,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,39.0,8.0,
8395B,1972,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,50.0,20.0,
8395B,1973,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,178.0,6.0,
8395B,1974,8,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,44.0,19.0,
8395B,1975,2,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,29.0,9.0,
8395B,1976,7,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,35.0,18.0,
8395B,1977,12,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,76.5,16.0,
8395B,1978,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,22.0,10.0,
8395B,1979,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,72.0,19.0,
8395B,1980,2,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,42.6,26.0,
8395B,1981,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,90.0,26.0,
8395B,1982,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,50.0,20.0,
8395B,1983,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,24.5,23.0,
8395B,1984,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,48.4,10.0,
8395B,1985,8,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,27.0,1.0,
8395B,1986,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,73.0,5.0,
8395B,1987,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,33.5,3.0,
8395B,1988,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,213.5,11.0,
8395B,1989,12,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,63.0,26.0,
8395B,1990,8,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,46.0,28.0,
8395B,1991,4,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,41.0,13.0,
8395B,1992,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,26.0,15.0,
8395B,1993,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,37.8,3.0,
8395B,1994,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,34.0,9.0,
8395B,1995,12,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,44.0,11.0,
8395B,1996,8,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,44.0,28.0,
8395B,1997,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,52.0,18.0,
8395B,1998,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,28.5,22.0,
8395B,1999,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,46.0,5.0,
8395B,2000,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,80.0,22.0,23.0
8395B,2001,4,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,22.0,27.0,
8395B,2002,6,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,80.0,30.0,
8395B,2003,2,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,75.0,25.0,
8395B,2004,5,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,32.0,3.0,
8395B,2005,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,32.0,10.0,
8395B,2006,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,40.0,7.0,
8395B,2007,4,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,57.5,6.0,
8395B,2008,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,54.0,20.0,
8395B,2009,3,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,39.5,28.0,
8395B,2010,3,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,53.0,21.0,
8395B,2011,4,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,37.0,22.0,
8395B,2012,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,39.0,20.0,
8395B,2014,7,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,90.0,3.0,
8395B,2016,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,71.2,27.0,
8395B,2017,1,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,60.5,19.0,
8395B,2018,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,46.7,18.0,
8395B,2019,4,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,61.2,18.0,
8395B,2020,11,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,54.9,27.0,
8395B,2021,7,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,29.1,25.0,
8395B,2022,3,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,95.6,21.0,
8395B,2023,9,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,58.8,19.0,
8395B,2024,10,CHELVA S E AGRARIA,474,671517,4401773,VALENCIA,199.1,29.0,
