INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8472E,1920,2,BARRACAS,984,696527,4432118,CASTELLON,99.6,19.0,
8472E,1927,10,BARRACAS,984,696527,4432118,CASTELLON,87.0,17.0,
8472E,1928,2,BARRACAS,984,696527,4432118,CASTELLON,57.2,27.0,
8472E,1929,6,BARRACAS,984,696527,4432118,CASTELLON,82.4,28.0,
8472E,1930,2,BARRACAS,984,696527,4432118,CASTELLON,80.4,9.0,
8472E,1931,12,BARRACAS,984,696527,4432118,CASTELLON,87.9,26.0,
8472E,1932,6,BARRACAS,984,696527,4432118,CASTELLON,103.7,13.0,
8472E,1933,6,BARRACAS,984,696527,4432118,CASTELLON,89.7,5.0,
8472E,1934,11,BARRACAS,984,696527,4432118,CASTELLON,86.9,3.0,
8472E,1935,7,BARRACAS,984,696527,4432118,CASTELLON,48.7,4.0,
8472E,1944,5,BARRACAS,984,696527,4432118,CASTELLON,55.1,15.0,
8472E,1948,3,BARRACAS,984,696527,4432118,CASTELLON,40.2,1.0,
8472E,1949,2,BARRACAS,984,696527,4432118,CASTELLON,40.5,16.0,
8472E,1950,5,BARRACAS,984,696527,4432118,CASTELLON,50.1,31.0,
8472E,1951,10,BARRACAS,984,696527,4432118,CASTELLON,40.5,20.0,
8472E,1952,8,BARRACAS,984,696527,4432118,CASTELLON,24.5,26.0,
8472E,1953,12,BARRACAS,984,696527,4432118,CASTELLON,36.2,5.0,
8472E,1954,3,BARRACAS,984,696527,4432118,CASTELLON,25.2,12.0,
8472E,1956,2,BARRACAS,984,696527,4432118,CASTELLON,90.2,24.0,
8472E,1958,11,BARRACAS,984,696527,4432118,CASTELLON,45.1,17.0,
8472E,1959,1,BARRACAS,984,696527,4432118,CASTELLON,35.1,29.0,
8472E,1961,11,BARRACAS,984,696527,4432118,CASTELLON,30.9,24.0,
8472E,1962,10,BARRACAS,984,696527,4432118,CASTELLON,26.4,14.0,
8472E,1963,9,BARRACAS,984,696527,4432118,CASTELLON,20.2,18.0,
8472E,1964,6,BARRACAS,984,696527,4432118,CASTELLON,25.2,26.0,
8472E,1965,10,BARRACAS,984,696527,4432118,CASTELLON,45.6,29.0,
8472E,1966,8,BARRACAS,984,696527,4432118,CASTELLON,23.5,21.0,
8472E,1967,11,BARRACAS,984,696527,4432118,CASTELLON,40.8,20.0,
8472E,1968,12,BARRACAS,984,696527,4432118,CASTELLON,29.7,7.0,
8472E,1969,10,BARRACAS,984,696527,4432118,CASTELLON,86.0,5.0,
8472E,1970,10,BARRACAS,984,696527,4432118,CASTELLON,46.6,10.0,
8472E,1971,12,BARRACAS,984,696527,4432118,CASTELLON,66.9,6.0,
8472E,1972,9,BARRACAS,984,696527,4432118,CASTELLON,21.2,13.0,
8472E,1973,9,BARRACAS,984,696527,4432118,CASTELLON,120.0,6.0,
8472E,1974,3,BARRACAS,984,696527,4432118,CASTELLON,26.5,11.0,
8472E,1975,12,BARRACAS,984,696527,4432118,CASTELLON,30.2,15.0,
8472E,1976,12,BARRACAS,984,696527,4432118,CASTELLON,42.3,20.0,
8472E,1977,1,BARRACAS,984,696527,4432118,CASTELLON,36.2,14.0,
8472E,1978,5,BARRACAS,984,696527,4432118,CASTELLON,16.2,27.0,
8472E,1979,10,BARRACAS,984,696527,4432118,CASTELLON,14.7,19.0,
8472E,1980,2,BARRACAS,984,696527,4432118,CASTELLON,34.2,26.0,
8472E,1981,6,BARRACAS,984,696527,4432118,CASTELLON,40.5,26.0,
8472E,1982,10,BARRACAS,984,696527,4432118,CASTELLON,40.3,19.0,
8472E,1983,8,BARRACAS,984,696527,4432118,CASTELLON,63.4,22.0,
8472E,1984,11,BARRACAS,984,696527,4432118,CASTELLON,27.3,13.0,
8472E,1985,11,BARRACAS,984,696527,4432118,CASTELLON,8.5,27.0,
8472E,1986,10,BARRACAS,984,696527,4432118,CASTELLON,60.6,5.0,
8472E,1987,1,BARRACAS,984,696527,4432118,CASTELLON,28.4,30.0,
8472E,1988,11,BARRACAS,984,696527,4432118,CASTELLON,55.8,12.0,
8472E,1989,9,BARRACAS,984,696527,4432118,CASTELLON,32.3,4.0,
8472E,1990,10,BARRACAS,984,696527,4432118,CASTELLON,12.4,11.0,
8472E,1991,2,BARRACAS,984,696527,4432118,CASTELLON,30.6,2.0,
8472E,1992,12,BARRACAS,984,696527,4432118,CASTELLON,29.2,25.0,
8472E,1993,11,BARRACAS,984,696527,4432118,CASTELLON,37.4,4.0,
8472E,1994,9,BARRACAS,984,696527,4432118,CASTELLON,60.3,28.0,
8472E,1995,5,BARRACAS,984,696527,4432118,CASTELLON,23.2,10.0,
8472E,1996,6,BARRACAS,984,696527,4432118,CASTELLON,17.6,18.0,
8472E,1997,1,BARRACAS,984,696527,4432118,CASTELLON,22.9,5.0,
8472E,1998,5,BARRACAS,984,696527,4432118,CASTELLON,16.8,19.0,
8472E,1999,10,BARRACAS,984,696527,4432118,CASTELLON,22.8,12.0,
