INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
9562,1916,11,MORELLA,998,745238,4500556,CASTELLON,73.0,29.0,
9562,1917,8,MORELLA,998,745238,4500556,CASTELLON,98.0,24.0,
9562,1918,8,MORELLA,998,745238,4500556,CASTELLON,64.7,26.0,
9562,1922,10,MORELLA,998,745238,4500556,CASTELLON,150.0,15.0,
9562,1923,5,MORELLA,998,745238,4500556,CASTELLON,32.0,24.0,
9562,1924,10,MORELLA,998,745238,4500556,CASTELLON,74.0,18.0,
9562,1925,6,MORELLA,998,745238,4500556,CASTELLON,47.0,18.0,
9562,1926,4,MORELLA,998,745238,4500556,CASTELLON,46.0,15.0,
9562,1927,6,MORELLA,998,745238,4500556,CASTELLON,107.0,17.0,
9562,1944,5,MORELLA,998,745238,4500556,CASTELLON,32.8,14.0,
9562,1945,11,MORELLA,998,745238,4500556,CASTELLON,182.2,18.0,
9562,1946,10,MORELLA,998,745238,4500556,CASTELLON,44.2,26.0,
9562,1947,5,MORELLA,998,745238,4500556,CASTELLON,69.0,13.0,
9562,1948,12,MORELLA,998,745238,4500556,CASTELLON,80.0,23.0,
9562,1949,2,MORELLA,998,745238,4500556,CASTELLON,80.5,16.0,
9562,1955,8,MORELLA,998,745238,4500556,CASTELLON,40.1,18.0,
9562,1958,11,MORELLA,998,745238,4500556,CASTELLON,47.5,18.0,
9562,1959,9,MORELLA,998,745238,4500556,CASTELLON,64.7,21.0,
9562,1960,5,MORELLA,998,745238,4500556,CASTELLON,64.2,17.0,
9562,1961,11,MORELLA,998,745238,4500556,CASTELLON,48.0,28.0,
9562,1962,10,MORELLA,998,745238,4500556,CASTELLON,65.0,16.0,
9562,1963,6,MORELLA,998,745238,4500556,CASTELLON,33.5,1.0,
9562,1964,12,MORELLA,998,745238,4500556,CASTELLON,80.5,17.0,
9562,1966,4,MORELLA,998,745238,4500556,CASTELLON,34.3,27.0,
9562,1967,10,MORELLA,998,745238,4500556,CASTELLON,180.0,23.0,
9562,1968,3,MORELLA,998,745238,4500556,CASTELLON,60.0,7.0,
9562,1969,10,MORELLA,998,745238,4500556,CASTELLON,89.3,5.0,
9562,1970,10,MORELLA,998,745238,4500556,CASTELLON,65.0,10.0,
9562,1971,12,MORELLA,998,745238,4500556,CASTELLON,78.0,4.0,
9562,1979,10,MORELLA,998,745238,4500556,CASTELLON,57.5,26.0,
9562,1980,11,MORELLA,998,745238,4500556,CASTELLON,28.2,5.0,
9562,1981,4,MORELLA,998,745238,4500556,CASTELLON,76.0,22.0,
9562,1982,10,MORELLA,998,745238,4500556,CASTELLON,90.0,20.0,
9562,1983,11,MORELLA,998,745238,4500556,CASTELLON,91.5,6.0,
9562,1984,5,MORELLA,998,745238,4500556,CASTELLON,34.5,14.0,
9562,1985,9,MORELLA,998,745238,4500556,CASTELLON,49.2,26.0,
9562,1986,10,MORELLA,998,745238,4500556,CASTELLON,65.5,1.0,
9562,1987,2,MORELLA,998,745238,4500556,CASTELLON,35.0,25.0,
9562,1988,6,MORELLA,998,745238,4500556,CASTELLON,54.0,26.0,
9562,1989,3,MORELLA,998,745238,4500556,CASTELLON,69.0,30.0,
9562,1990,10,MORELLA,998,745238,4500556,CASTELLON,39.0,7.0,
9562,1991,2,MORELLA,998,745238,4500556,CASTELLON,68.5,2.0,
9562,1992,12,MORELLA,998,745238,4500556,CASTELLON,42.0,25.0,
9562,1993,2,MORELLA,998,745238,4500556,CASTELLON,61.0,4.0,
9562,1994,10,MORELLA,998,745238,4500556,CASTELLON,46.0,9.0,
9562,1995,9,MORELLA,998,745238,4500556,CASTELLON,36.7,18.0,
9562,1996,12,MORELLA,998,745238,4500556,CASTELLON,52.0,7.0,
9562,1997,6,MORELLA,998,745238,4500556,CASTELLON,36.0,17.0,
9562,1998,4,MORELLA,998,745238,4500556,CASTELLON,37.3,26.0,
9562,1999,9,MORELLA,998,745238,4500556,CASTELLON,39.0,6.0,
9562,2000,10,MORELLA,998,745238,4500556,CASTELLON,233.8,22.0,
9562,2001,7,MORELLA,998,745238,4500556,CASTELLON,77.0,9.0,
9562,2002,5,MORELLA,998,745238,4500556,CASTELLON,62.5,7.0,
9562,2003,7,MORELLA,998,745238,4500556,CASTELLON,82.7,5.0,
9562,2004,3,MORELLA,998,745238,4500556,CASTELLON,71.3,29.0,
9562,2005,11,MORELLA,998,745238,4500556,CASTELLON,55.2,9.0,
9562,2006,2,MORELLA,998,745238,4500556,CASTELLON,52.8,26.0,
9562,2007,4,MORELLA,998,745238,4500556,CASTELLON,76.0,28.0,
9562,2008,11,MORELLA,998,745238,4500556,CASTELLON,41.0,1.0,
9562,2009,8,MORELLA,998,745238,4500556,CASTELLON,63.5,25.0,
9562,2010,10,MORELLA,998,745238,4500556,CASTELLON,54.6,12.0,
9562,2011,11,MORELLA,998,745238,4500556,CASTELLON,86.5,20.0,
9562,2012,9,MORELLA,998,745238,4500556,CASTELLON,60.4,9.0,
9562,2013,6,MORELLA,998,745238,4500556,CASTELLON,57.2,18.0,
9562,2014,7,MORELLA,998,745238,4500556,CASTELLON,93.4,1.0,
9562,2015,3,MORELLA,998,745238,4500556,CASTELLON,79.8,22.0,
9562,2016,9,MORELLA,998,745238,4500556,CASTELLON,47.0,23.0,
9562,2017,1,MORELLA,998,745238,4500556,CASTELLON,51.4,19.0,
9562,2018,10,MORELLA,998,745238,4500556,CASTELLON,117.6,18.0,
9562,2019,10,MORELLA,998,745238,4500556,CASTELLON,56.6,22.0,
9562,2020,1,MORELLA,998,745238,4500556,CASTELLON,123.4,21.0,
9562,2021,7,MORELLA,998,745238,4500556,CASTELLON,57.0,25.0,
9562,2022,4,MORELLA,998,745238,4500556,CASTELLON,68.6,20.0,
9562,2023,6,MORELLA,998,745238,4500556,CASTELLON,49.2,11.0,
9562,2024,10,MORELLA,998,745238,4500556,CASTELLON,93.0,29.0,
