"Longitude","Latitude","Rainfall","Return_Period","Distribution"
"010320W","390334N",322.4,"500","GEV"
"010312W","390612N",288.6,"500","GEV"
"012949W","393212N",130.2,"500","GEV"
"003708W","384548N",262.5,"500","GEV"
"003628W","384946N",399.8,"500","GEV"
"002413W","385023N",391.3,"500","GEV"
"002817W","385026N",373.1,"500","GEV"
"002523W","390328N",512.8,"500","GEV"
"001343W","394356N",130,"500","GEV"
"010600W","392919N",272.5,"500","GEV"
"002244W","392559N",423.4,"500","GEV"
"010620W","394339N",209.4,"500","GEV"
"010227W","394552N",289.1,"500","GEV"
"010036W","394502N",391.8,"500","GEV"
"005830W","393531N",376.8,"500","GEV"
"004936W","394404N",243.9,"500","GEV"
"002829W","392906N",297.8,"500","GEV"
"002159W","392850N",349.4,"500","GEV"
"001934W","393329N",367.3,"500","GEV"
"004306W","375924N",400.5,"500","GEV"
"004244W","380203N",437.1,"500","GEV"
"005853W","380404N",520.5,"500","GEV"
"005702W","380454N",231.7,"500","GEV"
"010220W","382418N",183.3,"500","GEV"
"005246W","380721N",198.8,"500","GEV"
"004806W","380720N",94.9,"500","GEV"
"004255W","380517N",388.9,"500","GEV"
"003830W","380837N",182.7,"500","GEV"
"004624W","383820N",226.9,"500","GEV"
"005504W","384141N",218,"500","GEV"
"005156W","383437N",183,"500","GEV"
"004559W","382257N",240.4,"500","GEV"
"004621W","382024N",197.8,"500","GEV"
"004139W","381606N",171.8,"500","GEV"
"004239W","381547N",188.3,"500","GEV"
"002939W","382221N",364.7,"500","GEV"
"003409W","383729N",197,"500","GEV"
"003415W","383138N",244.7,"500","GEV"
"000606W","384152N",488.2,"500","GEV"
"000719W","383859N",325.3,"500","GEV"
"000654W","385013N",422.6,"500","GEV"
"002122W","384309N",295,"500","GEV"
"002113W","384538N",310.3,"500","GEV"
"002946W","395533N",211.9,"500","GEV"
"002931W","395058N",247.2,"500","GEV"
"001343W","394910N",486.4,"500","GEV"
"001151W","395543N",264.3,"500","GEV"
"000635W","395716N",251.9,"500","GEV"
"004150W","400059N",202.1,"500","GEV"
"002509W","400757N",178.4,"500","GEV"
"001521W","402600N",245.2,"500","GEV"
"001011W","401255N",325.2,"500","GEV"
"000939W","400142N",242.3,"500","GEV"
"000419W","395726N",230.1,"500","GEV"
